start,mmd,high_mmd,slope,entropy,anomaly_fraction
0,0.0013511180877685547,0,0.0,2.1732139587402344,0.12
100,0.001996338367462158,0,0.0006452202796936033,2.196263074874878,0.134
200,0.0011565685272216797,0,-9.727478027343736e-05,2.1845297813415527,0.128
300,0.0011050701141357422,0,-0.00015779137611389156,2.1738600730895996,0.124
400,0.0028014183044433594,0,0.00020093321800231914,2.17136549949646,0.126
500,0.0020316243171691895,0,0.0001715421676635744,2.1764843463897705,0.136
600,-0.00023812055587768555,0,-0.00018628239631652803,2.1728312969207764,0.112
700,0.00018513202667236328,0,-0.0004879415035247806,2.1923577785491943,0.116
800,0.0008044838905334473,0,-0.000584036111831665,2.201817512512207,0.13
900,0.002332150936126709,0,0.00016436576843261683,2.2197749614715576,0.146
1000,0.0017921924591064453,0,0.0006207644939422604,2.220144271850586,0.136
1100,0.0016176700592041016,0,0.0003852784633636476,2.221008777618408,0.142
1200,0.0016288161277770996,0,9.34183597564702e-05,2.2152390480041504,0.148
1300,0.0017611384391784668,0,-0.00013054013252258287,2.2155795097351074,0.142
1400,0.0008833408355712891,0,-0.0001674234867095945,2.194124698638916,0.124
1500,0.0009182095527648926,0,-0.0002144396305084231,2.2027530670166016,0.13
1600,0.0006377696990966797,0,-0.0002825021743774418,2.198509931564331,0.132
1700,5.245208740234375e-05,0,-0.0003662943840026856,2.194354772567749,0.118
1800,0.0003777742385864258,0,-0.00018768906593322787,2.196446418762207,0.128
1900,0.0021033883094787598,0,0.00021103620529174763,2.2092647552490234,0.132
2000,0.0011747479438781738,0,0.0003124892711639407,2.187363862991333,0.124
2100,0.0006609559059143066,0,0.0002013981342315675,2.188997507095337,0.118
2200,0.00046306848526000977,0,-0.00012718439102172863,2.1801087856292725,0.12
2300,4.2498111724853516e-05,0,-0.00048334598541259683,2.1753005981445312,0.112
2400,6.747245788574219e-05,0,-0.00028330087661743186,2.1772632598876953,0.118
2500,0.00041866302490234375,0,-8.801817893981933e-05,2.1866135597229004,0.128
2600,0.0008372664451599121,0,0.00011245608329772925,2.1867499351501465,0.144
2700,0.0013043880462646484,0,0.00032935738563537537,2.1837594509124756,0.136
2800,0.001990675926208496,0,0.00047321319580078005,2.1927621364593506,0.15
2900,0.002505779266357422,0,0.0005327641963958738,2.1860806941986084,0.154
3000,0.0022950172424316406,0,0.000411689281463623,2.1830368041992188,0.146
3100,0.0018996000289916992,0,0.00014947652816772554,2.1833786964416504,0.14
3200,0.0017738938331604004,0,-0.00010397434234619071,2.1891000270843506,0.15
3300,0.0015358924865722656,0,-0.000246089696884156,2.182372808456421,0.134
3400,0.0007292628288269043,0,-0.0003495216369628924,2.1857216358184814,0.136
3500,0.0008561015129089355,0,-0.0003131628036499025,2.184231996536255,0.138
3600,0.00040590763092041016,0,-0.00034157633781433137,2.178126335144043,0.136
3700,0.0011330842971801758,0,-0.00011289715766906712,2.1823220252990723,0.14
3800,0.0014085769653320312,0,0.00016356110572814865,2.1910831928253174,0.148
3900,0.0017217397689819336,0,0.00027339458465576254,2.182774543762207,0.144
4000,0.0019239187240600586,0,0.00036246776580810665,2.190452814102173,0.146
4100,0.0013623833656311035,0,9.739398956298819e-05,2.1935040950775146,0.142
4200,0.0012396574020385742,0,-6.971955299377417e-05,2.1878662109375,0.128
4300,0.0015503168106079102,0,-0.0001027107238769541,2.1713685989379883,0.126
4400,0.0006535053253173828,0,-0.00023528933525085552,2.1865274906158447,0.128
4500,0.0007071495056152344,0,-0.00018966197967529188,2.1769402027130127,0.118
4600,0.0008981227874755859,0,-0.00015262365341186398,2.1858015060424805,0.134
4700,0.0013747215270996094,0,-1.0657310485839436e-05,2.185636281967163,0.15
4800,0.0006235241889953613,0,6.07609748840335e-05,2.1846368312835693,0.144
4900,0.000690460205078125,0,-3.0797719955443756e-05,2.168510913848877,0.134
5000,0.0006595849990844727,0,-0.00011613368988036894,2.186311721801758,0.152
5100,0.001040637493133545,0,-6.321072578430173e-05,2.184595823287964,0.132
5200,0.001469433307647705,0,0.00020419955253601045,2.190150737762451,0.132
5300,0.002565145492553711,0,0.0004559218883514416,2.1919660568237305,0.118
5400,0.001416921615600586,0,0.00030391812324523723,2.189746141433716,0.114
5500,-0.0004024505615234375,0,-0.00029386878013610646,2.176820755004883,0.094
5600,-0.0002046823501586914,0,-0.0006315827369689978,2.1809613704681396,0.104
5700,-0.00038242340087890625,0,-0.0007516741752624511,2.1854140758514404,0.106
5800,0.0006448030471801758,0,-0.00015242099761963334,2.196992874145508,0.13
5900,0.0001437067985534668,0,0.00019418001174926835,2.202113628387451,0.132
6000,0.00034314393997192383,0,0.00016217827796936098,2.19759202003479,0.138
6100,0.00028896331787109375,0,0.00010411143302917458,2.1928043365478516,0.14
6200,0.0002560615539550781,0,-6.322264671325695e-05,2.185710906982422,0.124
6300,-0.00042057037353515625,0,-0.00012156367301940887,2.1709630489349365,0.104
6400,-1.5497207641601562e-05,0,-0.0001426815986633291,2.1686184406280518,0.122
6500,0.0004163980484008789,0,-1.6689300537104136e-06,2.1723334789276123,0.13
6600,0.0005280971527099609,0,0.00013810396194458005,2.178889274597168,0.128
6700,0.0008054971694946289,0,0.00029957294464111214,2.1884942054748535,0.146
6800,0.002079010009765625,0,0.00045781135559081685,2.191138505935669,0.16
6900,0.0022383928298950195,0,0.0005194902420043941,2.194387912750244,0.144
7000,0.0023058652877807617,0,0.0004988431930541974,2.207395076751709,0.146
7100,0.001922011375427246,0,0.0002459883689880373,2.2002718448638916,0.14
7200,0.0020979642868041992,0,-2.784729003906275e-05,2.188832998275757,0.126
7300,0.003527343273162842,0,0.00023699998855590944,2.2030692100524902,0.134
7400,0.0030890703201293945,0,0.0003171741962432902,2.2039554119110107,0.15
7500,0.0019440054893493652,0,0.0001035094261169424,2.19356632232666,0.14
7600,0.002146303653717041,0,-0.00014866590499877598,2.1989874839782715,0.132
7700,0.0022745728492736816,0,-0.0003448307514190678,2.2055087089538574,0.14
7800,0.0009652972221374512,0,-0.00039169788360595846,2.1926097869873047,0.122
7900,0.0016643404960632324,0,-0.00017403364181518575,2.1993391513824463,0.122
8000,0.0013136863708496094,0,-0.00022754669189453284,2.1935229301452637,0.12
8100,0.001139521598815918,0,-0.00019217133522033653,2.192518711090088,0.14
8200,0.001950383186340332,0,0.00014453530311584495,2.180046796798706,0.132
8300,0.0022794008255004883,0,0.00018668174743652233,2.186936855316162,0.14
8400,0.00281369686126709,0,0.0004139900207519534,2.187042474746704,0.126
8500,0.001592397689819336,0,0.00017690658569336078,2.188854694366455,0.14
8600,0.0008925199508666992,0,-0.000280272960662838,2.1819608211517334,0.13
8700,0.0012645721435546875,0,-0.00039508342742920044,2.185058832168579,0.138
8800,0.001213669776916504,0,-0.00035278797149658155,2.164045810699463,0.126
8900,0.0023288726806640625,0,0.00017940998077392196,2.1551899909973145,0.136
9000,0.002490401268005371,0,0.0004260063171386694,2.1500773429870605,0.13
9100,0.0030031204223632812,0,0.0004753828048706056,2.15427827835083,0.126
9200,0.0019199848175048828,0,0.00020868778228759786,2.1734986305236816,0.126
9300,0.0003706216812133789,0,-0.00044869184494018594,2.1903023719787598,0.134
9400,0.0003962516784667969,0,-0.0006820797920227051,2.1896839141845703,0.124
9500,0.001438438892364502,0,-0.00046530961990356464,2.1969263553619385,0.132
9600,0.0033101439476013184,0,0.00038481354713440144,2.2005577087402344,0.14
9700,0.004577219486236572,0,0.001132708787918078,2.1796088218688965,0.14
9800,0.00451350212097168,0,0.001137328147888197,2.1743557453155518,0.14
9900,0.0036589503288269043,0,0.0005644381046295156,2.167330265045166,0.144
10000,0.0013805627822875977,0,-0.00047774314880370697,2.162245512008667,0.126
10100,0.0018411874771118164,0,-0.0008605003356933662,2.1629769802093506,0.122
10200,0.0008597373962402344,0,-0.0009125292301177913,2.1679575443267822,0.116
10300,0.0009065866470336914,0,-0.0006025552749633807,2.1647140979766846,0.12
10400,0.00038361549377441406,0,-0.0002928495407104473,2.170834541320801,0.112
10500,0.0011252760887145996,0,-0.0001907944679260263,2.183655261993408,0.122
10600,0.0015064477920532227,0,0.0001512110233306873,2.1691741943359375,0.132
10700,0.0007765293121337891,0,8.627176284790097e-05,2.1761510372161865,0.138
10800,0.001017451286315918,0,9.189248085022062e-05,2.184049606323242,0.134
10900,0.003017723560333252,0,0.0003295898437499931,2.187988042831421,0.15
11000,0.001895308494567871,0,0.0003018915653228807,2.1786913871765137,0.152
11100,0.002138495445251465,0,0.0003601789474487307,2.177337884902954,0.144
11200,0.0017951726913452148,0,6.762146949768652e-05,2.1691274642944336,0.134
11300,0.0010373592376708984,0,-0.00040608644485472977,2.1677823066711426,0.138
11400,0.0001456737518310547,0,-0.0004600405693054133,2.161116361618042,0.118
11500,0.0003972053527832031,0,-0.0005132079124450682,2.171180009841919,0.118
11600,0.0006066560745239258,0,-0.0003017187118530272,2.1693174839019775,0.11
11700,0.0010623931884765625,0,5.1105022430418254e-05,2.1663291454315186,0.108
11800,0.0012369155883789062,0,0.00028476715087890616,2.162379026412964,0.116
11900,0.002380847930908203,0,0.0004597544670104928,2.162048816680908,0.118
12000,0.0010930299758911133,0,0.00022912025451660113,2.1436851024627686,0.11
12100,4.8160552978515625e-05,0,-0.00021723508834838352,2.16253662109375,0.116
12200,0.00016307830810546875,0,-0.00044803619384765295,2.163325071334839,0.124
12300,0.00035119056701660156,0,-0.000498926639556881,2.1572425365448,0.108
12400,-1.5020370483398438e-05,0,-0.0001913070678710931,2.158856153488159,0.11
12500,0.0013374090194702148,0,0.00024003982543945528,2.1617372035980225,0.106
12600,0.0012211799621582031,0,0.0003102421760559106,2.157397747039795,0.104
12700,-0.00026476383209228516,0,4.2915344238314746e-07,2.159515142440796,0.092
12800,4.506111145019531e-05,0,-0.0001482009887695296,2.163017988204956,0.098
12900,0.00019156932830810547,0,-0.00034677982330322043,2.176539421081543,0.104
13000,0.0005441904067993164,0,-8.976459503173577e-05,2.1987078189849854,0.112
13100,0.0005192160606384277,0,0.00020670890808105393,2.1978187561035156,0.122
13200,0.001274406909942627,0,0.00027863383293151854,2.2022833824157715,0.138
13300,0.0024173855781555176,0,0.0005181849002838226,2.213409185409546,0.148
13400,0.002197086811065674,0,0.0005203962326049805,2.20192813873291,0.15
13500,0.0012602806091308594,0,0.00024048089981079342,2.183180093765259,0.142
13600,0.0005695819854736328,0,-0.00025667548179625284,2.179729461669922,0.13
13700,0.001080155372619629,0,-0.0004301965236663763,2.1797077655792236,0.122
13800,0.0005971193313598633,0,-0.0003380060195922833,2.1749181747436523,0.124
13900,0.00011920928955078125,0,-0.0002254605293273916,2.1723368167877197,0.118
14000,0.00043022632598876953,0,-0.0001239657402038524,2.1829135417938232,0.13
14100,0.0013363957405090332,0,3.4558773040770154e-05,2.197268486022949,0.144
14200,0.0004750490188598633,0,9.730458259582483e-05,2.1861495971679688,0.13
14300,0.0007961392402648926,0,0.0001398682594299315,2.18806529045105,0.126
14400,0.0013510584831237793,0,0.00013014078140258814,2.190772533416748,0.142
14500,0.0004564523696899414,0,-8.838772773742554e-05,2.1849424839019775,0.142
14600,0.0011899471282958984,0,0.00010901093482971123,2.1641685962677,0.13
14700,0.0020917654037475586,0,0.000243014097213736,2.182002067565918,0.154
14800,0.0021445751190185547,0,0.0003222346305847091,2.18062686920166,0.15
14900,0.0026869773864746094,0,0.0005415678024292091,2.186519145965576,0.144
15000,0.001919388771057129,0,0.00020540952682494953,2.196075916290283,0.138
15100,0.0014478564262390137,0,-0.0001513004302978551,2.2042758464813232,0.14
15200,0.0007159709930419922,0,-0.00040963292121887527,2.199345350265503,0.13
15300,0.0003082156181335449,0,-0.0005960941314697299,2.193681001663208,0.122
15400,0.0008138418197631836,0,-0.0003350734710693356,2.1926329135894775,0.13
15500,0.0020714998245239258,0,0.00013451576232910838,2.193587064743042,0.14
15600,0.0013942718505859375,0,0.0003119885921478145,2.192263126373291,0.148
15700,0.0014967918395996094,0,0.00029575824737548855,2.2028017044067383,0.156
15800,0.0012915730476379395,0,3.80754470825224e-05,2.197549343109131,0.156
15900,0.001414656639099121,0,-0.0001416385173797604,2.1994056701660156,0.15
16000,0.0013312101364135742,0,-2.08258628845216e-05,2.196272373199463,0.148
16100,0.0009441375732421875,0,-0.00010656714439392105,2.2007908821105957,0.152
16200,0.0013129711151123047,0,-4.2772293090821534e-05,2.1809751987457275,0.15
16300,0.0012670159339904785,0,-3.135204315185563e-05,2.203831911087036,0.154
16400,0.0006742477416992188,0,-9.910464286804045e-05,2.1912643909454346,0.14
16500,0.0014119148254394531,0,2.9683113098144253e-05,2.1740524768829346,0.138
16600,0.002391219139099121,0,0.00023013949394225645,2.174947500228882,0.14
16700,0.001362919807434082,0,0.00019087791442871422,2.1763832569122314,0.13
