start,mmd,high_mmd,slope,entropy,anomaly_fraction
0,0.0005575418472290039,0,0.0,0.2889438271522522,0.0
100,0.0026504993438720703,0,0.002092957496643066,0.4511009454727173,0.0
200,-6.771087646484375e-05,0,-0.0003126263618469232,0.3247719407081604,0.0
300,0.004419565200805664,1,0.0008867859840393067,0.5349599719047546,0.0
400,0.05344891548156738,1,0.010755181312561037,0.7235335111618042,0.0
500,0.14816856384277344,1,0.034455275535583495,0.7564871311187744,0.0
600,0.26086997985839844,1,0.06656243801116943,0.7048844695091248,0.0
700,0.36003780364990234,1,0.09186575412750245,0.7172828912734985,0.002
800,0.29669666290283203,1,0.06983647346496581,0.7324234247207642,0.002
900,0.15962886810302734,1,0.0058747291564941375,0.8085407018661499,0.002
1000,0.08171641826629639,1,-0.05587160587310783,0.7664287686347961,0.002
1100,0.012265205383300781,1,-0.09105254411697389,0.5814158916473389,0.002
1200,0.0024770498275756836,0,-0.0735802888870239,0.3527360260486603,0.0
1300,0.0033260583877563477,0,-0.03918449878692626,0.3801283836364746,0.0
1400,0.0024281740188598633,0,-0.016751563549041736,0.35880863666534424,0.0
1500,0.002150893211364746,0,-0.0020277500152587865,0.35880863666534424,0.0
1600,0.0008655786514282227,0,-0.00043981075286865295,0.37358224391937256,0.0
1700,0.000457763671875,0,-0.0007299184799194335,0.3590351343154907,0.0
1800,2.467632293701172e-05,0,-0.0006500124931335458,0.3406732380390167,0.0
1900,0.0004684925079345703,0,-0.00042057037353515636,0.4246762692928314,0.006
2000,0.0012481212615966797,0,7.758140563964862e-05,0.5234733819961548,0.008
2100,0.055851101875305176,1,0.011201012134551974,1.2071293592453003,0.014
2200,0.08986711502075195,1,0.02350674867630007,1.3976967334747314,0.02
2300,0.12828004360198975,1,0.034424209594726494,1.5532392263412476,0.024
2400,0.12553858757019043,1,0.032100987434387225,1.5299534797668457,0.018
2500,0.11472058296203613,1,0.015341043472290037,1.4846689701080322,0.016
2600,0.03525519371032715,1,-0.012278330326080316,1.1094390153884888,0.056
2700,0.025801777839660645,1,-0.029523992538452094,1.0096396207809448,0.074
