start,mmd,high_mmd,slope,entropy,anomaly_fraction
0,0.3102648854255676,1,0.0,4.634467601776123,0.484
100,0.31981033086776733,1,0.009545445442199704,4.557117938995361,0.406
200,0.31773728132247925,1,0.003736197948455818,4.646196365356445,0.454
300,0.3888639211654663,1,0.023372405767440818,4.348575592041016,0.502
400,0.6332032680511475,1,0.07149303555488584,3.6279683113098145,0.62
500,0.7947814464569092,1,0.1265408217906952,3.0997252464294434,0.73
600,0.8533134460449219,1,0.1477069854736328,2.8738653659820557,0.768
700,0.8419878482818604,1,0.11263580322265626,2.922929286956787,0.772
800,0.7308682799339294,1,0.024253642559051502,3.315561294555664,0.744
900,0.4907209873199463,1,-0.07305660843849182,4.0069780349731445,0.636
1000,0.3270730972290039,1,-0.1403747558593748,4.4845499992370605,0.524
1100,0.2940046191215515,1,-0.1499761641025543,4.661436557769775,0.546
1200,0.2975194454193115,1,-0.10634140372276304,4.571763038635254,0.49
1300,0.36955416202545166,1,-0.02718873023986817,4.349546909332275,0.574
1400,0.5636770725250244,1,0.054875749349594063,3.806288003921509,0.67
1500,0.6810382604598999,1,0.10402249097824105,3.4889976978302,0.738
1600,0.5865369439125061,1,0.0889519095420838,3.727534055709839,0.694
1700,0.47912168502807617,1,0.024199491739273122,3.8246545791625977,0.648
1800,0.4372813403606415,1,-0.04547080397605906,3.735996723175049,0.528
1900,0.5220526456832886,1,-0.04672268331050868,3.5505757331848145,0.506
2000,0.7508131861686707,1,0.03714834451675425,2.9093503952026367,0.452
2100,1.0476679801940918,1,0.14506244361400567,2.0878183841705322,0.45
2200,1.1410417556762695,1,0.19331361651420612,1.9987694025039673,0.466
2300,1.0952051877975464,1,0.15365336537361113,2.0304317474365234,0.522
2400,0.8098501563072205,1,0.01656111478805543,2.456221580505371,0.552
2500,0.6656574606895447,1,-0.10952126383781459,2.7332208156585693,0.652
2600,0.6464087963104248,1,-0.14188136458396905,2.885009765625,0.684
2700,0.7675057649612427,1,-0.0818840205669402,2.8820083141326904,0.752
2800,0.8927736282348633,1,0.026769524812698182,2.703458070755005,0.776
2900,0.8930853605270386,1,0.07012206315994263,2.7123231887817383,0.792
3000,0.8878746628761292,1,0.060851132869720465,2.7108750343322754,0.776
3100,0.885443925857544,1,0.02309773564338703,2.7053496837615967,0.768
3200,0.8995846509933472,1,0.0005980610847472676,2.720309019088745,0.806
3300,0.8786096572875977,1,-0.0017241418361663343,2.7480475902557373,0.734
